Ticker,Date,Horizon,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast,LSTM_Forecast
TSLA,2023-10-24,180,216.5200042724609,162.31249495672515,191.36869512841864,160.89259517743685,
TSLA,2023-10-25,180,212.4199981689453,162.31249495672515,191.01710995828356,161.7335570749818,
TSLA,2023-10-26,180,205.759994506836,162.31249495672515,191.10042756289045,161.62999631530042,
TSLA,2023-10-27,180,207.3000030517578,162.31249495672515,191.15491645859427,162.11930073224707,
TSLA,2023-10-30,180,197.3600006103516,162.31249495672515,192.45501405723817,161.6793601219084,
TSLA,2023-10-31,180,200.83999633789065,162.31249495672515,191.8396561628061,160.9214428523759,
TSLA,2023-11-01,180,205.6600036621093,162.31249495672515,192.12589361901144,161.76240475645525,
TSLA,2023-11-02,180,218.509994506836,162.31249495672515,191.9900758062695,161.65884400251497,
TSLA,2023-11-03,180,219.9600067138672,162.31249495672515,191.8849454100924,162.1481484245058,
TSLA,2023-11-06,180,219.2700042724609,162.31249495672515,192.1780139725813,161.7082078185988,
TSLA,2023-11-07,180,222.17999267578125,162.31249495672515,192.3964586398025,160.95029055296004,
TSLA,2023-11-08,180,222.1100006103516,162.31249495672515,193.80674977107003,161.7912524604604,
TSLA,2023-11-09,180,209.97999572753903,162.31249495672515,193.24124094325376,161.68769170952578,
TSLA,2023-11-10,180,214.6499938964844,162.31249495672515,193.5120103962232,162.17699613415732,
TSLA,2023-11-13,180,223.7100067138672,162.31249495672515,193.29222652993383,161.7370555305705,
TSLA,2023-11-14,180,237.4100036621093,162.31249495672515,193.0333759542025,160.97913826697018,
TSLA,2023-11-15,180,242.83999633789065,162.31249495672515,193.10371903430683,161.82010017626158,
TSLA,2023-11-16,180,233.58999633789065,162.31249495672515,193.03321027633777,161.71653942690048,
TSLA,2023-11-17,180,234.3000030517578,162.31249495672515,194.09309175348355,162.2058438529145,
TSLA,2023-11-20,180,235.6000061035156,162.31249495672515,193.1223913036353,161.76590325054235,
TSLA,2023-11-21,180,241.1999969482422,162.31249495672515,192.94161641384164,161.00798598800927,
TSLA,2023-11-22,180,234.2100067138672,162.31249495672515,192.23391990468423,161.8489478982382,
TSLA,2023-11-23,180,,162.31249495672515,191.46208096430252,161.74538714970095,
TSLA,2023-11-24,180,235.4499969482422,162.31249495672515,191.00667293728145,162.2346915764388,
TSLA,2023-11-27,180,236.0800018310547,162.31249495672515,190.41066291274603,161.79475097470254,
TSLA,2023-11-28,180,246.72000122070312,162.31249495672515,190.95866003906423,161.03683371272817,
TSLA,2023-11-29,180,244.13999938964844,162.31249495672515,189.5030538039231,161.87779562344804,
TSLA,2023-11-30,180,240.0800018310547,162.31249495672515,188.87734321735812,161.77423487534205,
TSLA,2023-12-01,180,238.8300018310547,162.31249495672515,187.77694326150063,162.2635393024588,
TSLA,2023-12-04,180,235.5800018310547,162.31249495672515,186.67582234243324,161.82359870105552,
TSLA,2023-12-05,180,238.72000122070312,162.31249495672515,185.9643519761644,161.0656814393736,
TSLA,2023-12-06,180,239.3699951171875,162.31249495672515,185.1936229356938,161.90664335035046,
TSLA,2023-12-07,180,242.63999938964844,162.31249495672515,185.65445305688093,161.80308260247023,
TSLA,2023-12-08,180,243.83999633789065,162.31249495672515,184.2033350556028,162.2923870297854,
TSLA,2023-12-11,180,239.7400054931641,162.31249495672515,183.6756310398501,161.8524464285564,
TSLA,2023-12-12,180,237.009994506836,162.31249495672515,182.76630428499809,161.09452916702764,
TSLA,2023-12-13,180,239.2899932861328,162.31249495672515,181.94654454087615,161.93549107813905,
TSLA,2023-12-14,180,251.0500030517578,162.31249495672515,181.60166888197355,161.83193033037705,
TSLA,2023-12-15,180,253.5,162.31249495672515,181.27555132124203,162.32123475779605,
TSLA,2023-12-18,180,252.0800018310547,162.31249495672515,182.2498036114229,161.88129415665833,
TSLA,2023-12-19,180,257.2200012207031,162.31249495672515,181.36995111582695,161.12337689520976,
TSLA,2023-12-20,180,247.13999938964844,162.31249495672515,181.45890438370125,161.9643388063916,
TSLA,2023-12-21,180,254.5,162.31249495672515,181.19800953732152,161.8607780586915,
TSLA,2023-12-22,180,252.5399932861328,162.31249495672515,181.04402507221928,162.35008248616492,
TSLA,2023-12-26,180,256.6099853515625,162.31249495672515,181.36739745080072,161.91014188507495,
TSLA,2023-12-27,180,261.44000244140625,162.31249495672515,181.6970783854244,161.15222462366833,
TSLA,2023-12-28,180,253.17999267578125,162.31249495672515,183.30009550912675,161.99318653488706,
TSLA,2023-12-29,180,248.47999572753903,162.31249495672515,183.0081094933403,161.88962578721936,
