Date,Actual,ARIMA_Forecast,Prophet_Forecast,SARIMA_Forecast
2023-10-23,4217.0400390625,4381.919922739701,3896.103258346821,4434.867829141615
2023-10-24,4247.68017578125,4381.919922739997,3894.1692716110974,4435.442335826423
2023-10-25,4186.77001953125,4381.919922739976,3893.778376534403,4436.045414075947
2023-10-26,4137.22998046875,4381.919922739903,3892.97119030412,4437.4080913994685
2023-10-27,4117.3701171875,4381.919922739977,3893.3720963632527,4439.972817155436
2023-10-30,4166.81982421875,4381.919922739932,3892.254668580597,4440.415369039273
2023-10-31,4193.7998046875,4381.91992273995,3892.281873870219,4440.975518980088
2023-11-01,4237.85986328125,4381.919922739948,3892.595950721337,4441.5647782113865
2023-11-02,4317.77978515625,4381.919922739945,3892.766447771159,4442.914154102162
2023-11-03,4358.33984375,4381.919922739949,3894.443263239728,4445.466076624914
2023-11-06,4365.97998046875,4381.919922739946,3895.643305950781,4445.896304815215
2023-11-07,4378.3798828125,4381.919922739947,3897.968653109449,4446.444592641221
2023-11-08,4382.77978515625,4381.919922739947,3898.6725212485176,4447.022434048198
2023-11-09,4347.35009765625,4381.919922739947,3900.399960396366,4448.360819764426
2023-11-10,4415.240234375,4381.919922739947,3902.278153960759,4450.902163744968
2023-11-13,4411.5498046875,4381.919922739947,3903.864795523266,4451.322209607878
2023-11-14,4495.7001953125,4381.919922739947,3906.8013728691103,4451.8606964812525
2023-11-15,4502.8798828125,4381.919922739947,3909.099972267833,4452.4291040261305
2023-11-16,4508.240234375,4381.919922739947,3912.361473513004,4453.758409221573
2023-11-17,4514.02001953125,4381.919922739947,3913.841450684573,4456.291012788389
2023-11-20,4547.3798828125,4381.919922739947,3916.1906905261294,4456.702645606069
2023-11-21,4538.18994140625,4381.919922739947,3918.5452160288414,4457.233034541261
2023-11-22,4556.6201171875,4381.919922739947,3920.474294645927,4457.793647452804
2023-11-23,,4381.919922739947,3923.633272596823,4459.1154499596005
2023-11-24,4559.33984375,4381.919922739947,3926.0498620020408,4461.640831847799
2023-11-27,4550.43017578125,4381.919922739947,3929.341767273849,4462.045513471777
2023-11-28,4554.89013671875,4381.919922739947,3930.781983367745,4462.569211567284
2023-11-29,4550.580078125,4381.919922739947,3933.038696625564,4463.123384241709
2023-11-30,4567.7998046875,4381.919922739947,3935.264695271567,4464.438987727744
2023-12-01,4594.6298828125,4381.919922739947,3937.0447884924265,4466.958402776878
2023-12-04,4569.77978515625,4381.919922739947,3940.048094507024,4467.357341047223
2023-12-05,4567.18017578125,4381.919922739947,3942.3138421632975,4467.875510903975
2023-12-06,4549.33984375,4381.919922739947,3945.4685885758186,4468.424362397488
2023-12-07,4585.58984375,4381.919922739947,3946.791199274642,4469.73484400519
2023-12-08,4604.3701171875,4381.919922739947,3948.952532789988,4472.249329013775
2023-12-11,4622.43994140625,4381.919922739947,3951.104744879092,4472.643521896152
2023-12-12,4643.7001953125,4381.919922739947,3952.828716138436,4473.157124101434
2023-12-13,4707.08984375,4381.919922739947,3955.786464696872,4473.701579022928
2023-12-14,4719.5498046875,4381.919922739947,3958.0071862114696,4475.007828730354
2023-12-15,4719.18994140625,4381.919922739947,3961.104817783141,4477.518240342697
